 Website, Javascript required,Searchable,Firewall,,Estimated Hour
kramertools.ch/de/,FALSE,TRUE,No detection,,15
shop.brunneronline.ch/,FALSE,TRUE,No detection,,15
werkzeug-shop.ch,FALSE,TRUE,No detection,,15
deltalux.ch,FALSE,TRUE,No detection,,15
siroop.ch,FALSE,TRUE,No detection,,15
glühbirne.ch,,,,Not exist.,15
hornbach.ch,FALSE,TRUE,No detection,, 
conrad.ch,FALSE,TRUE,No detection,,20
brack.ch,FALSE,TRUE,No detection,,15
bugnard.ch,FALSE,TRUE,No detection,,15
www.obi.ch,FALSE,TRUE,No detection,,15
hasler.ch,FALSE,TRUE,No detection,,20
eh-services.ch,FALSE,TRUE,No detection,,15
dkh.ch,FALSE,TRUE,No detection,,15
brw.ch,FALSE,TRUE,No detection,,15
